Training for 150000 steps ...
     57/150000: episode: 1, duration: 0.285s, episode steps:  57, steps per second: 200, episode reward: -90.955, mean reward: -1.596 [-100.000,  6.351], mean action: 1.421 [0.000, 3.000],  loss: --, mse: --, mean_q: --, mean_eps: --
C:\Users\nguye\anaconda3\lib\site-packages\tensorflow\python\keras\engine\training.py:2325: UserWarning: `Model.state_updates` will be removed in a future version. This property should not be used in TensorFlow 2.0, as `updates` are applied automatically.
  warnings.warn('`Model.state_updates` will be removed in a future version. '
C:\Users\nguye\anaconda3\lib\site-packages\tensorflow\python\keras\engine\training.py:2325: UserWarning: `Model.state_updates` will be removed in a future version. This property should not be used in TensorFlow 2.0, as `updates` are applied automatically.
  warnings.warn('`Model.state_updates` will be removed in a future version. '
    118/150000: episode: 2, duration: 1.310s, episode steps:  61, steps per second:  47, episode reward: -84.969, mean reward: -1.393 [-100.000, 21.202], mean action: 1.508 [0.000, 3.000],  loss: 51.874045, mse: 25.942000, mean_q: 0.057868, mean_eps: 0.999346
    201/150000: episode: 3, duration: 0.722s, episode steps:  83, steps per second: 115, episode reward: -99.890, mean reward: -1.203 [-100.000, 17.389], mean action: 1.349 [0.000, 3.000],  loss: 57.193351, mse: 29.219210, mean_q: 1.160269, mean_eps: 0.999046
    321/150000: episode: 4, duration: 0.802s, episode steps: 120, steps per second: 150, episode reward: -184.456, mean reward: -1.537 [-100.000,  8.410], mean action: 1.475 [0.000, 3.000],  loss: 57.371696, mse: 32.542435, mean_q: 2.476016, mean_eps: 0.998437
    422/150000: episode: 5, duration: 0.707s, episode steps: 101, steps per second: 143, episode reward: -133.795, mean reward: -1.325 [-100.000, 15.542], mean action: 1.248 [0.000, 3.000],  loss: 32.623806, mse: 24.510601, mean_q: 1.931141, mean_eps: 0.997774
    515/150000: episode: 6, duration: 0.619s, episode steps:  93, steps per second: 150, episode reward: -356.109, mean reward: -3.829 [-100.000,  5.356], mean action: 1.419 [0.000, 3.000],  loss: 20.581798, mse: 27.833579, mean_q: 1.653467, mean_eps: 0.997192
    585/150000: episode: 7, duration: 0.474s, episode steps:  70, steps per second: 148, episode reward: -225.025, mean reward: -3.215 [-100.000, 15.567], mean action: 1.400 [0.000, 3.000],  loss: 16.127024, mse: 44.966772, mean_q: 0.614518, mean_eps: 0.996703
    668/150000: episode: 8, duration: 0.544s, episode steps:  83, steps per second: 153, episode reward: -222.850, mean reward: -2.685 [-100.000, 22.778], mean action: 1.301 [0.000, 3.000],  loss: 13.871601, mse: 53.397903, mean_q: 0.244923, mean_eps: 0.996244
    769/150000: episode: 9, duration: 0.734s, episode steps: 101, steps per second: 138, episode reward: -302.514, mean reward: -2.995 [-100.000,  3.528], mean action: 1.297 [0.000, 3.000],  loss: 22.573914, mse: 84.579554, mean_q: -0.050379, mean_eps: 0.995692
    852/150000: episode: 10, duration: 0.642s, episode steps:  83, steps per second: 129, episode reward: -196.773, mean reward: -2.371 [-100.000, 13.385], mean action: 1.614 [0.000, 3.000],  loss: 20.618735, mse: 64.480306, mean_q: -0.642231, mean_eps: 0.995140
    932/150000: episode: 11, duration: 0.572s, episode steps:  80, steps per second: 140, episode reward: -126.707, mean reward: -1.584 [-100.000,  7.037], mean action: 1.562 [0.000, 3.000],  loss: 20.569978, mse: 71.780142, mean_q: -0.564859, mean_eps: 0.994651
   1041/150000: episode: 12, duration: 0.789s, episode steps: 109, steps per second: 138, episode reward: -70.474, mean reward: -0.647 [-100.000, 14.274], mean action: 1.495 [0.000, 3.000],  loss: 19.641164, mse: 78.543579, mean_q: -0.438977, mean_eps: 0.994084
   1123/150000: episode: 13, duration: 0.602s, episode steps:  82, steps per second: 136, episode reward: -73.193, mean reward: -0.893 [-100.000, 16.240], mean action: 1.500 [0.000, 3.000],  loss: 12.501985, mse: 104.576485, mean_q: -0.480734, mean_eps: 0.993511
   1180/150000: episode: 14, duration: 0.536s, episode steps:  57, steps per second: 106, episode reward: -114.602, mean reward: -2.011 [-100.000,  8.422], mean action: 1.491 [0.000, 3.000],  loss: 7.690018, mse: 90.479338, mean_q: 0.001266, mean_eps: 0.993094
   1248/150000: episode: 15, duration: 0.741s, episode steps:  68, steps per second:  92, episode reward: -211.080, mean reward: -3.104 [-100.000,  7.257], mean action: 1.618 [0.000, 3.000],  loss: 9.837823, mse: 96.047286, mean_q: 0.075224, mean_eps: 0.992719
   1364/150000: episode: 16, duration: 1.147s, episode steps: 116, steps per second: 101, episode reward: -87.009, mean reward: -0.750 [-100.000,  8.480], mean action: 1.431 [0.000, 3.000],  loss: 13.885158, mse: 104.778943, mean_q: -0.156357, mean_eps: 0.992167
   1463/150000: episode: 17, duration: 1.090s, episode steps:  99, steps per second:  91, episode reward: -359.276, mean reward: -3.629 [-100.000,  0.437], mean action: 1.465 [0.000, 3.000],  loss: 11.851276, mse: 97.189662, mean_q: 0.036728, mean_eps: 0.991522
   1568/150000: episode: 18, duration: 1.257s, episode steps: 105, steps per second:  84, episode reward: 25.757, mean reward:  0.245 [-100.000, 88.789], mean action: 1.714 [0.000, 3.000],  loss: 16.310249, mse: 81.674518, mean_q: 0.086078, mean_eps: 0.990910
   1709/150000: episode: 19, duration: 1.492s, episode steps: 141, steps per second:  95, episode reward: -44.347, mean reward: -0.315 [-100.000, 88.067], mean action: 1.418 [0.000, 3.000],  loss: 21.206826, mse: 86.859028, mean_q: 0.286074, mean_eps: 0.990172
   1799/150000: episode: 20, duration: 0.920s, episode steps:  90, steps per second:  98, episode reward: -295.615, mean reward: -3.285 [-100.000, 29.563], mean action: 1.456 [0.000, 3.000],  loss: 24.090891, mse: 90.302517, mean_q: 0.057578, mean_eps: 0.989479
   1917/150000: episode: 21, duration: 1.124s, episode steps: 118, steps per second: 105, episode reward: -155.520, mean reward: -1.318 [-100.000,  8.240], mean action: 1.441 [0.000, 3.000],  loss: 24.691209, mse: 90.899107, mean_q: -0.052739, mean_eps: 0.988855
   2006/150000: episode: 22, duration: 0.628s, episode steps:  89, steps per second: 142, episode reward: -76.973, mean reward: -0.865 [-100.000,  9.887], mean action: 1.483 [0.000, 3.000],  loss: 19.203295, mse: 94.372964, mean_q: -0.134045, mean_eps: 0.988234
   2133/150000: episode: 23, duration: 0.841s, episode steps: 127, steps per second: 151, episode reward: -180.965, mean reward: -1.425 [-100.000, 28.374], mean action: 1.598 [0.000, 3.000],  loss: 19.830568, mse: 110.581899, mean_q: 0.148648, mean_eps: 0.987586
   2225/150000: episode: 24, duration: 0.718s, episode steps:  92, steps per second: 128, episode reward: -410.748, mean reward: -4.465 [-100.000,  0.040], mean action: 1.630 [0.000, 3.000],  loss: 19.802100, mse: 127.716659, mean_q: -0.059698, mean_eps: 0.986929
