Training for 150000 steps ...
     79/150000: episode: 1, duration: 0.145s, episode steps:  79, steps per second: 544, episode reward: -69.568, mean reward: -0.881 [-100.000, 44.501], mean action: 1.215 [0.000, 3.000],  loss: --, mse: --, mean_q: --, mean_eps: --
C:\Users\nguye\anaconda3\lib\site-packages\tensorflow\python\keras\engine\training.py:2325: UserWarning: `Model.state_updates` will be removed in a future version. This property should not be used in TensorFlow 2.0, as `updates` are applied automatically.
  warnings.warn('`Model.state_updates` will be removed in a future version. '
C:\Users\nguye\anaconda3\lib\site-packages\tensorflow\python\keras\engine\training.py:2325: UserWarning: `Model.state_updates` will be removed in a future version. This property should not be used in TensorFlow 2.0, as `updates` are applied automatically.
  warnings.warn('`Model.state_updates` will be removed in a future version. '
    156/150000: episode: 2, duration: 0.869s, episode steps:  77, steps per second:  89, episode reward: -102.430, mean reward: -1.330 [-100.000,  9.943], mean action: 1.545 [0.000, 3.000],  loss: 10.394062, mse: 5.205252, mean_q: 0.075365, mean_eps: 0.999232
    221/150000: episode: 3, duration: 0.495s, episode steps:  65, steps per second: 131, episode reward: -76.899, mean reward: -1.183 [-100.000,  8.366], mean action: 1.477 [0.000, 3.000],  loss: 7.100100, mse: 3.607279, mean_q: 0.231374, mean_eps: 0.998872
    312/150000: episode: 4, duration: 0.649s, episode steps:  91, steps per second: 140, episode reward: -129.079, mean reward: -1.418 [-100.000,  6.418], mean action: 1.429 [0.000, 3.000],  loss: 7.338539, mse: 3.906228, mean_q: 0.431510, mean_eps: 0.998404
    433/150000: episode: 5, duration: 0.849s, episode steps: 121, steps per second: 143, episode reward: -90.984, mean reward: -0.752 [-100.000, 51.579], mean action: 1.678 [0.000, 3.000],  loss: 8.923445, mse: 5.120068, mean_q: 0.505390, mean_eps: 0.997768
    563/150000: episode: 6, duration: 0.961s, episode steps: 130, steps per second: 135, episode reward: -304.654, mean reward: -2.343 [-100.000,  3.183], mean action: 1.585 [0.000, 3.000],  loss: 13.211542, mse: 7.660891, mean_q: 0.587859, mean_eps: 0.997015
    625/150000: episode: 7, duration: 0.471s, episode steps:  62, steps per second: 132, episode reward: -114.922, mean reward: -1.854 [-100.000,  7.020], mean action: 1.258 [0.000, 3.000],  loss: 8.071118, mse: 5.264383, mean_q: 0.542913, mean_eps: 0.996439
    714/150000: episode: 8, duration: 0.691s, episode steps:  89, steps per second: 129, episode reward: -362.332, mean reward: -4.071 [-100.000,  0.503], mean action: 1.404 [0.000, 3.000],  loss: 9.608478, mse: 6.024581, mean_q: 0.586675, mean_eps: 0.995986
    783/150000: episode: 9, duration: 0.549s, episode steps:  69, steps per second: 126, episode reward: -249.704, mean reward: -3.619 [-100.000,  3.991], mean action: 1.232 [0.000, 3.000],  loss: 9.704143, mse: 6.424012, mean_q: 0.518821, mean_eps: 0.995512
    892/150000: episode: 10, duration: 0.830s, episode steps: 109, steps per second: 131, episode reward: -203.691, mean reward: -1.869 [-100.000,  9.658], mean action: 1.468 [0.000, 3.000],  loss: 13.776203, mse: 8.324485, mean_q: 0.686552, mean_eps: 0.994978
   1017/150000: episode: 11, duration: 0.908s, episode steps: 125, steps per second: 138, episode reward: -119.303, mean reward: -0.954 [-100.000,  5.771], mean action: 1.440 [0.000, 3.000],  loss: 9.830680, mse: 6.561562, mean_q: 0.753870, mean_eps: 0.994276
   1114/150000: episode: 12, duration: 0.746s, episode steps:  97, steps per second: 130, episode reward: -82.685, mean reward: -0.852 [-100.000, 17.450], mean action: 1.402 [0.000, 3.000],  loss: 7.361670, mse: 6.426025, mean_q: 1.370016, mean_eps: 0.993610
   1177/150000: episode: 13, duration: 0.463s, episode steps:  63, steps per second: 136, episode reward: -174.045, mean reward: -2.763 [-100.000, 68.454], mean action: 1.603 [0.000, 3.000],  loss: 11.146657, mse: 8.730989, mean_q: 1.286211, mean_eps: 0.993130
   1257/150000: episode: 14, duration: 0.592s, episode steps:  80, steps per second: 135, episode reward: -303.560, mean reward: -3.795 [-100.000,  3.938], mean action: 1.825 [0.000, 3.000],  loss: 10.238368, mse: 8.621618, mean_q: 1.391848, mean_eps: 0.992701
   1329/150000: episode: 15, duration: 0.539s, episode steps:  72, steps per second: 134, episode reward: -33.818, mean reward: -0.470 [-100.000, 62.774], mean action: 1.736 [0.000, 3.000],  loss: 11.273103, mse: 8.989423, mean_q: 1.155882, mean_eps: 0.992245
   1400/150000: episode: 16, duration: 0.567s, episode steps:  71, steps per second: 125, episode reward: -148.527, mean reward: -2.092 [-100.000,  6.533], mean action: 1.423 [0.000, 3.000],  loss: 6.063492, mse: 6.104838, mean_q: 1.301045, mean_eps: 0.991816
   1471/150000: episode: 17, duration: 0.585s, episode steps:  71, steps per second: 121, episode reward: -84.663, mean reward: -1.192 [-100.000,  9.197], mean action: 1.451 [0.000, 3.000],  loss: 7.602084, mse: 7.205787, mean_q: 1.270791, mean_eps: 0.991390
   1546/150000: episode: 18, duration: 0.533s, episode steps:  75, steps per second: 141, episode reward: -148.891, mean reward: -1.985 [-100.000,  3.465], mean action: 1.427 [0.000, 3.000],  loss: 13.216255, mse: 10.025750, mean_q: 1.314762, mean_eps: 0.990952
   1639/150000: episode: 19, duration: 0.752s, episode steps:  93, steps per second: 124, episode reward: -75.382, mean reward: -0.811 [-100.000, 21.852], mean action: 1.548 [0.000, 3.000],  loss: 9.181142, mse: 8.011521, mean_q: 1.391094, mean_eps: 0.990448
   1733/150000: episode: 20, duration: 0.726s, episode steps:  94, steps per second: 129, episode reward: -81.291, mean reward: -0.865 [-100.000, 18.190], mean action: 1.617 [0.000, 3.000],  loss: 9.634295, mse: 8.152745, mean_q: 1.330174, mean_eps: 0.989887
   1854/150000: episode: 21, duration: 0.921s, episode steps: 121, steps per second: 131, episode reward: -252.997, mean reward: -2.091 [-100.000,  7.421], mean action: 1.471 [0.000, 3.000],  loss: 11.370003, mse: 8.938511, mean_q: 1.409951, mean_eps: 0.989242
   1967/150000: episode: 22, duration: 0.884s, episode steps: 113, steps per second: 128, episode reward: -267.611, mean reward: -2.368 [-100.000, 18.117], mean action: 1.637 [0.000, 3.000],  loss: 11.079629, mse: 8.713055, mean_q: 1.341154, mean_eps: 0.988540
   2083/150000: episode: 23, duration: 0.927s, episode steps: 116, steps per second: 125, episode reward: -215.836, mean reward: -1.861 [-100.000,  6.164], mean action: 1.491 [0.000, 3.000],  loss: 9.052673, mse: 9.085256, mean_q: 2.099518, mean_eps: 0.987853
   2165/150000: episode: 24, duration: 1.189s, episode steps:  82, steps per second:  69, episode reward: -87.484, mean reward: -1.067 [-100.000, 21.432], mean action: 1.500 [0.000, 3.000],  loss: 9.631249, mse: 10.699028, mean_q: 2.212185, mean_eps: 0.987259
