Training for 150000 steps ...
     92/150000: episode: 1, duration: 0.205s, episode steps:  92, steps per second: 448, episode reward: -88.329, mean reward: -0.960 [-100.000, 12.252], mean action: 1.391 [0.000, 3.000],  loss: --, mse: --, mean_q: --, mean_eps: --
    180/150000: episode: 2, duration: 1.265s, episode steps:  88, steps per second:  70, episode reward: -137.164, mean reward: -1.559 [-100.000,  6.925], mean action: 1.625 [0.000, 3.000],  loss: 42.244740, mse: 22.315375, mean_q: 1.387211, mean_eps: 0.999160
C:\Users\nguye\anaconda3\lib\site-packages\tensorflow\python\keras\engine\training.py:2325: UserWarning: `Model.state_updates` will be removed in a future version. This property should not be used in TensorFlow 2.0, as `updates` are applied automatically.
  warnings.warn('`Model.state_updates` will be removed in a future version. '
C:\Users\nguye\anaconda3\lib\site-packages\tensorflow\python\keras\engine\training.py:2325: UserWarning: `Model.state_updates` will be removed in a future version. This property should not be used in TensorFlow 2.0, as `updates` are applied automatically.
  warnings.warn('`Model.state_updates` will be removed in a future version. '
    278/150000: episode: 3, duration: 0.644s, episode steps:  98, steps per second: 152, episode reward: -294.678, mean reward: -3.007 [-100.000,  3.624], mean action: 1.337 [0.000, 3.000],  loss: 29.012396, mse: 19.758673, mean_q: 1.710504, mean_eps: 0.998629
    376/150000: episode: 4, duration: 0.757s, episode steps:  98, steps per second: 129, episode reward: -235.555, mean reward: -2.404 [-100.000,  0.730], mean action: 1.408 [0.000, 3.000],  loss: 23.864952, mse: 27.907755, mean_q: 0.877202, mean_eps: 0.998041
    490/150000: episode: 5, duration: 0.818s, episode steps: 114, steps per second: 139, episode reward: -412.674, mean reward: -3.620 [-100.000, 16.486], mean action: 1.526 [0.000, 3.000],  loss: 19.400707, mse: 32.604197, mean_q: 0.495232, mean_eps: 0.997405
    632/150000: episode: 6, duration: 1.150s, episode steps: 142, steps per second: 123, episode reward: -77.921, mean reward: -0.549 [-100.000, 10.004], mean action: 1.592 [0.000, 3.000],  loss: 20.139475, mse: 40.923410, mean_q: 0.098509, mean_eps: 0.996637
    695/150000: episode: 7, duration: 0.495s, episode steps:  63, steps per second: 127, episode reward: -132.629, mean reward: -2.105 [-100.000, 10.017], mean action: 1.444 [0.000, 3.000],  loss: 21.907999, mse: 42.455542, mean_q: 0.387274, mean_eps: 0.996022
    808/150000: episode: 8, duration: 1.053s, episode steps: 113, steps per second: 107, episode reward: -183.547, mean reward: -1.624 [-100.000, 84.502], mean action: 1.487 [0.000, 3.000],  loss: 19.245052, mse: 41.445846, mean_q: 0.762297, mean_eps: 0.995494
    877/150000: episode: 9, duration: 0.573s, episode steps:  69, steps per second: 120, episode reward: -93.432, mean reward: -1.354 [-100.000, 10.656], mean action: 1.652 [0.000, 3.000],  loss: 23.699763, mse: 39.025724, mean_q: 0.825481, mean_eps: 0.994948
    978/150000: episode: 10, duration: 0.874s, episode steps: 101, steps per second: 116, episode reward: -333.446, mean reward: -3.301 [-100.000,  2.323], mean action: 1.663 [0.000, 3.000],  loss: 37.843918, mse: 59.266134, mean_q: 0.399779, mean_eps: 0.994438
   1081/150000: episode: 11, duration: 1.226s, episode steps: 103, steps per second:  84, episode reward: -414.962, mean reward: -4.029 [-100.000,  0.761], mean action: 1.738 [0.000, 3.000],  loss: 28.410601, mse: 52.137472, mean_q: 0.234277, mean_eps: 0.993826
   1159/150000: episode: 12, duration: 0.877s, episode steps:  78, steps per second:  89, episode reward: -141.091, mean reward: -1.809 [-100.000, 12.293], mean action: 1.449 [0.000, 3.000],  loss: 22.967645, mse: 73.598567, mean_q: -0.212592, mean_eps: 0.993283
   1254/150000: episode: 13, duration: 0.945s, episode steps:  95, steps per second: 101, episode reward: -219.174, mean reward: -2.307 [-100.000, 13.081], mean action: 1.537 [0.000, 3.000],  loss: 18.217805, mse: 51.976716, mean_q: 0.186488, mean_eps: 0.992764
   1331/150000: episode: 14, duration: 0.690s, episode steps:  77, steps per second: 112, episode reward: -91.208, mean reward: -1.185 [-100.000, 20.505], mean action: 1.662 [0.000, 3.000],  loss: 26.280743, mse: 73.489840, mean_q: -0.103199, mean_eps: 0.992248
